[16.1.2021 | 16:31:38] [Cichy]: Test. 
[27.1.2021 | 13:40:0] [👑 _PRYMEK_ 👑]: Długo 

[27.1.2021 | 13:40:12] [👑 _PRYMEK_ 👑]: Z/W 

[27.1.2021 | 13:40:18] [👑 _PRYMEK_ 👑]: Palce mnie strasznie bolą 

[27.1.2021 | 13:40:30][᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: lalallalalal [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/803967675054817300/unknown.png] 

[27.1.2021 | 14:13:44] [SOKOLEK]: Wstawać na impre 🙂 

[27.1.2021 | 14:21:23] [❤_Nezuko Kamado_❤]: Ta ja nmg 

[27.1.2021 | 14:21:54] [❤_Nezuko Kamado_❤]: Polecam rozwalić nadgarstek przy ćwiczeniach bo mój naczyciel nie zn słowa choroba 

[27.1.2021 | 17:46:28] [Suzu]: Heej 

[27.1.2021 | 17:46:41] [Suzu]: Wie ktoś może którym botem robi się statystyki? 

[27.1.2021 | 18:23:23] [Kokichi✔]: <@!689129555549618269> robić walki? 

[27.1.2021 | 18:25:22] [👑 _PRYMEK_ 👑]: Tak <@581373577404874752> 

[27.1.2021 | 18:25:25] [👑 _PRYMEK_ 👑]: Dawaj rób 

[27.1.2021 | 21:40:10] [Michu]: Siema kurwa dajcie bana fast 

[27.1.2021 | 21:40:16] [Michu]: Fast 

[27.1.2021 | 21:40:27] [Michu]: Swój rekord bana robie ej 

[27.1.2021 | 22:27:44] [👑 _PRYMEK_ 👑]: !user @Michu#4715 

[27.1.2021 | 22:28:35] [👑 _PRYMEK_ 👑]: A tak btw 

[27.1.2021 | 22:28:38] [👑 _PRYMEK_ 👑]: Jest ktoś 

[27.1.2021 | 22:28:39] [👑 _PRYMEK_ 👑]: ? 

[27.1.2021 | 22:28:45] [👑 _PRYMEK_ 👑]: <@607951368413773824> 

[27.1.2021 | 22:28:50] [👑 _PRYMEK_ 👑]: Np. 

[27.1.2021 | 22:28:52] [👑 _PRYMEK_ 👑]: Jesteś 

[27.1.2021 | 22:30:8][👑 _PRYMEK_ 👑]: undefined [Image Link:https://cdn.discordapp.com/attachments/710547723224612904/804100959965020240/Screenshot_2021-01-27-22-29-58-19.jpg] 

[27.1.2021 | 22:30:32] [👑 _PRYMEK_ 👑]: !ban 804088413208838144 chcesz to masz ;) 

[27.1.2021 | 22:31:2] [👑 _PRYMEK_ 👑]: Hmmm 

[27.1.2021 | 22:31:52] [👑 _PRYMEK_ 👑]: Aha chłop usunoł chyba konto nie wnikam 

[27.1.2021 | 22:31:54] [👑 _PRYMEK_ 👑]: XD 

[28.1.2021 | 12:34:15] [XeeMee]: kurde <@!763675745951678474> ciągle wygrywa walki 

[28.1.2021 | 13:25:31] [Rekin]: no i ? 

[28.1.2021 | 13:25:39] [XeeMee]: hehe 

[28.1.2021 | 13:25:40] [XeeMee]: nic 

[28.1.2021 | 13:25:51] [Rekin]: nie pinguj 

[28.1.2021 | 14:19:31] [👑 _PRYMEK_ 👑]: Ej 

[28.1.2021 | 14:19:36] [👑 _PRYMEK_ 👑]: Są jeszcze Drwaly 

[28.1.2021 | 14:19:38] [👑 _PRYMEK_ 👑]: W mc 

[28.1.2021 | 14:19:38] [👑 _PRYMEK_ 👑]: ? 

[28.1.2021 | 14:19:54] [👑 _PRYMEK_ 👑]: <@695590947630743635> 

[28.1.2021 | 14:19:58] [👑 _PRYMEK_ 👑]: Wiesz czy nie 

[28.1.2021 | 14:21:57] [❤_Nezuko Kamado_❤]: Nie ma chyba 

